VALID,AIRCRAFT,REPORT,LON,LAT,10m Northward Wind,10m Eastward Wind,50m Northward Wind,50m Eastward Wind
201701010017,F2TH,PHL UA /OV 20 N PHL/TM 0017/FL120/TP F2TH/TA -15/IC MODERATE RIME 120-105,-75.23111,40.15801221,5.331572056,2.403112173,8.715209007,4.11999321
201701010017,B738,GRI UA /OV OBH221058 /TM 0017 /FL320 /TP B738 /TB SMTH/RM AWC-WEB,-99.08451989,40.74598478,2.5752244,0.777623892,4.068724155,1.253293991
201701010017,B737,MEM UA /OV 8 SE MEM/TM 0017/FL083/TP B737/SK TOPS 083 BASES 002,-89.88490163,34.9791755,1.321135163,1.301549673,2.707884312,2.70983696
201701010018,A306,MJX UA /OV CYN/TM 0018/FL170/TP A306/TA M02/IC LGT RIME 170,-74.43,39.82,6.981962681,4.186315537,10.22106838,6.227415085
201701010018,A320,SFZ UA /OV PUT /TM 0018 /FL210 /TP A320 /TA M09 /IC MOD RIME,-71.84,41.96,3.480009556,1.443639517,7.451536655,3.376829147
201701010018,E135,UIN UA /OV UIN180040/TM 0018/FL290/TP E135/TB MOD CHOP/RM ZKC,-91.19458,39.36348558,-3.518037319,0.826452017,-7.294557095,1.709348679
201701010018,C182,TXK UA /OV KTXK /TM 0018 /FL001 /TP C182 /SK 007 BKN /RM ON FAP AWC-WEB:,-93.99103,33.45372,-0.375459075,-1.458704233,-1.049439788,-3.909303665
201701010018,B738,CBF UA /OV OVR086058 /TM 0018 /FL340 /TP B738 /TB SMTH/RM AWC-WEB:,-94.62672039,41.22860091,-1.220185637,1.691686392,-1.9918226,2.76843071
201701010018,B738,CBF UA /OV OVR086058 /TM 0018 /FL340 /TP B738 /TB SMTH/RM AWC-WEB,-94.62672039,41.22860091,-1.220185637,1.691686392,-1.9918226,2.76843071
201701010018,A319,HUF UA /OV TTH295010/TM 0018/FL360/TP A319/TB OCNL LGT CHOP/RM ZKC,-87.42009792,39.5512125,-2.998506069,3.165807486,-5.814088345,6.16296196
